Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value,Is Rookie,Data Status
121,Washington Commanders DST,WAS,DST,7,12,168.9,100.8,,No,Partial Data
331,Raheem Blackshear,CAR,RB,83,14,170.0,5.11,,No,Partial Data
332,Trey Palmer,TB,WR,128,9,170.0,21.81,,No,Partial Data
165,Blake Grupe,NO,K,14,11,169.8,125.93,,No,Partial Data
333,Anthony Gould,IND,WR,129,11,170.0,1.64,,No,Partial Data
334,Xavier Gipson,NYJ,WR,130,9,170.0,10.06,,No,Partial Data
335,Tom Kennedy,DET,WR,131,8,170.0,0.83,,No,Partial Data
336,Hassan Haskins,LAC,RB,84,12,170.0,12.58,,No,Partial Data
134,Cleveland Browns DST,CLE,DST,10,9,169.3,106.19,,No,Partial Data
337,Jeremy Ruckert,NYJ,TE,46,9,170.0,17.14,,No,Partial Data
338,Tyquan Thornton,KC,WR,132,10,170.0,9.22,,No,Partial Data
